"sprint_day","date","time_ist","timezone","platform","surface","format","frames","language","theme","delivery_id","caption","creative_brief","primary_action","proposed_redirect","link_status","fallback","status","asset_paths","posted_url","published_at_ist"
"1","2026-09-06","09:00","Asia/Kolkata","x","feed","card","1","en","Start with one paragraph","2609_d06_x_card_en_sprint2_am_start_with_one_paragraph","One character. One place. One thing they want. That is enough to begin a scene. What would your character want?

#writon #writingcommunity #amwriting","1080x1080 original card. Hook: Your first story can start with one paragraph. Adapt it specifically to the morning caption; do not repeat the evening creative.","participation","","not_applicable","If a current app screen is unavailable, use a four-panel original writing exercise and replace the download CTA with Save this exercise.","published","d:\VibeCode\WritOn-PowerUp\campaign\antigravity-2026-09-06-19\assets\day1\day1_am_x_card.png","https://x.com/WritOn_Social/status/2096467751598690695","10:47:18"
"1","2026-09-06","12:30","Asia/Kolkata","ig","story","story","1","en","Start with one paragraph","2609_d06_ig_story_en_sprint2_midday_start_with_one_paragraph","What brings you here?

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: What brings you here? Poll choices if supported: Reading / Writing. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","If a current app screen is unavailable, use a four-panel original writing exercise and replace the download CTA with Save this exercise.","published","d:\VibeCode\WritOn-PowerUp\campaign\antigravity-2026-09-06-19\assets\day1\day1_midday_story_parchment.png","https://www.instagram.com/writon_socialapp/","12:53:45"
"1","2026-09-06","19:30","Asia/Kolkata","ig","feed","carousel","1","en","Start with one paragraph","2609_d06_ig_carousel_en_sprint2_main_start_with_one_paragraph","A finished book begins with a small piece of writing. Choose a character, a place, and something they want. Write 50 words before you edit. Explore WritOn on Android through the link in our bio.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Five panels, 1080x1350 each. Cover: Your first story can start with one paragraph.
1. You do not need a finished book to begin.
2. Choose one character, one place, and one thing they want.
3. Write 50 words before editing. This is a suggested exercise, not an app limit.
4. Show a current, verified WritOn writing screen.
5. Explore WritOn on Android. Start with one paragraph.
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","app","","not_applicable","If a current app screen is unavailable, use a four-panel original writing exercise and replace the download CTA with Save this exercise.","published","d:\VibeCode\WritOn-PowerUp\campaign\antigravity-2026-09-06-19\assets\day1\day1_main_carousel_slide_1.png","https://www.instagram.com/writon_socialapp/","18:17:17"
"1","2026-09-06","20:30","Asia/Kolkata","x","feed","card","1","en","Start with one paragraph","2609_d06_x_card_en_sprint2_pm_start_with_one_paragraph","A small writing session for tonight: set a five-minute timer and write one paragraph before editing. Keep the paragraph, even if it is imperfect.

#writon #writingcommunity #amwriting","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","practice","","not_applicable","If a current app screen is unavailable, use a four-panel original writing exercise and replace the download CTA with Save this exercise.","published","d:\VibeCode\WritOn-PowerUp\campaign\antigravity-2026-09-06-19\assets\day1\day1_pm_x_card.png","https://x.com/WritOn_Social/status/2096580999165694228","20:30:15"
"1","2026-09-06","20:45","Asia/Kolkata","ig","story","story","2","en","Start with one paragraph","2609_d06_ig_story_en_sprint2_evening_start_with_one_paragraph","Your first story can start with one paragraph.

Explore WritOn on Android. Use the verified Story link sticker.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: one verified Android app link sticker; label the destination accurately. Do not show invented replies or counts. Localize this copy to en during review.","app","https://writon.cc/go/2609_d06_ig_story_en_sprint2_evening_start_with_one_paragraph","UNVERIFIED_PROPOSED","If a current app screen is unavailable, use a four-panel original writing exercise and replace the download CTA with Save this exercise.","published","d:\VibeCode\WritOn-PowerUp\campaign\antigravity-2026-09-06-19\assets\day1\day1_evening_story_frame_1.png;d:\VibeCode\WritOn-PowerUp\campaign\antigravity-2026-09-06-19\assets\day1\day1_evening_story_frame_2.png","https://www.instagram.com/writon_socialapp/","20:50:37"
"2","2026-09-07","09:00","Asia/Kolkata","x","feed","card","1","hi","Hindi opening-line prompt","2609_d07_x_card_hi_sprint2_am_hindi_opening_line_prompt","लेखन अभ्यास: “दरवाज़े पर दस्तक हुई, पर बाहर कोई नहीं था।” इसके बाद क्या हुआ? अगली दो पंक्तियाँ लिखिए।

#writon #हिंदीसाहित्य #लेखन","1080x1080 original card. Hook: दरवाज़े पर दस्तक हुई, पर बाहर कोई नहीं था। Adapt it specifically to the morning caption; do not repeat the evening creative.","participation","","not_applicable","Use the English door-knock prompt if fluent Hindi review is unavailable.","planned_draft","","",""
"2","2026-09-07","12:30","Asia/Kolkata","ig","story","story","1","hi","Hindi opening-line prompt","2609_d07_ig_story_hi_sprint2_midday_hindi_opening_line_prompt","आप क्या पढ़ना पसंद करेंगे?

#writon #हिंदीसाहित्य #लेखन #कहानी #writingcommunity","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: आप क्या पढ़ना पसंद करेंगे? Poll choices if supported: रहस्य / कविता. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","Use the English door-knock prompt if fluent Hindi review is unavailable.","planned_draft","","",""
"2","2026-09-07","19:30","Asia/Kolkata","ig","feed","card","1","hi","Hindi opening-line prompt","2609_d07_ig_card_hi_sprint2_main_hindi_opening_line_prompt","आज का लेखन अभ्यास: “दरवाज़े पर दस्तक हुई, पर बाहर कोई नहीं था।” इसके बाद क्या हुआ? अपनी अगली दो पंक्तियाँ कमेंट में लिखिए। यह WritOn का लेखन संकेत है, किसी लेखक का उद्धरण नहीं।

#writon #हिंदीसाहित्य #लेखन #कहानी #writingcommunity","One 1080x1080 card. Cover: दरवाज़े पर दस्तक हुई, पर बाहर कोई नहीं था।
1. लेखन अभ्यास
2. इस शुरुआत के बाद कहानी में क्या होता है?
3. अगली दो पंक्तियाँ लिखिए।
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","participation","","not_applicable","Use the English door-knock prompt if fluent Hindi review is unavailable.","planned_draft","","",""
"2","2026-09-07","20:30","Asia/Kolkata","x","feed","card","1","hi","Hindi opening-line prompt","2609_d07_x_card_hi_sprint2_pm_hindi_opening_line_prompt","रहस्य लिखते समय एक छोटी चीज़ बदलकर देखिए: खाली कुर्सी, खुली खिड़की या बंद घड़ी। आपके दृश्य में कौन-सी चीज़ बदलेगी?

#writon #हिंदीसाहित्य #लेखन","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","participation","","not_applicable","Use the English door-knock prompt if fluent Hindi review is unavailable.","planned_draft","","",""
"2","2026-09-07","20:45","Asia/Kolkata","ig","story","story","2","hi","Hindi opening-line prompt","2609_d07_ig_story_hi_sprint2_evening_hindi_opening_line_prompt","दरवाज़े पर दस्तक हुई, पर बाहर कोई नहीं था।

Use tonight's exercise or question from the feed post.

#writon #हिंदीसाहित्य #लेखन #कहानी #writingcommunity","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: the daily question or save/practice reminder. Do not show invented replies or counts. Localize this copy to hi during review.","participation","","not_applicable","Use the English door-knock prompt if fluent Hindi review is unavailable.","planned_draft","","",""
